Front,Back,Tags
LLM 的一句话本质是什么？,一个下一 token 的概率预测器（在海量文本上压缩出的统计引擎）。,primer
什么是 Context Window？越长越好吗？,一次对话能塞的 token 数。不是越长越好——长上下文末端服从度下降（Lost in the Middle）。,primer
Temperature=0 和 Temperature=1 的区别？,0 最确定，1 发散。SRE 场景多用 0-0.3。,primer
Tool use / function calling 的本质？,模型只会描述想做什么，实际执行由宿主代码完成。,primer
RAG 是什么？,Retrieval-Augmented Generation。查询 → embedding → 向量库检索 → 拼进 prompt → 生成。,primer
4 种必见失败模式？,幻觉、截断、注入、漂移。,primer
每步 95% 正确的 10 步 Agent 端到端正确率约多少？,~60%（0.95^10 ≈ 0.599）。,knowledge
复合系统可靠性工程的两件新工作？,Step 预算 + Verifier 插入点。,knowledge
LLM 推理服务必须分开定 SLO 的两个指标？,TTFT（首 token 延迟）和 tokens/s（输出速度）。,knowledge
容量规划新三角？,GPU 显存 × 上下文长度 × QPS，三者互相约束。,knowledge
静默降级（Silent Degradation）是什么？,指标全绿但系统数学已经坏了（bf16/fp32 失配、XLA 怪癖、kernel 非确定性）。,knowledge
Lethal Trifecta 三个组成？,不受信输入 + 工具访问 + 外泄通道。三者共存 = 攻击可行。,knowledge
Prompt injection 的正确防御层在哪？,基础设施层（沙箱 / egress 白名单 / capability-scoped 凭证），不是 prompt 层。,knowledge
为什么 trace 和 eval 应该是一套系统？,Traces 就是 eval 数据集，evals 就是生产监控。分成两套会数据断裂、重复投入。,knowledge
三层 Eval 分别是？,L1 Assertion（硬规则）/ L2 Judge 模型 / L3 A/B + 用户反馈。,knowledge
AI 系统参考架构的四个面是什么？为什么面的划分比组件划分更重要？,控制面（网关/Prompt/记忆）、能力面（编排/模型/检索/工具）、质量面（Eval/数据飞轮/红队）、运维面（可观测/Registry/预算）。组织通常按面分团队，跨面接缝是事故和扯皮的高发区——面划分错了，组件再全也是结构性问题。,architecture
参考架构中描述每个组件的契约卡五栏是什么？,职责（一句话，写不完说明该拆）、SLO（必须可数值化）、失败模式（写不出 = 只画过没设计过）、归属（RACI 的 R，单一团队）、可替换边界（什么变了组件就要重写）。,architecture
RAG 系统里换 embedding 模型和换向量库，哪个才是真正的不可逆点？,换 embedding 模型——新旧向量不在同一空间，需全量 re-embed + reindex + 重测召回（约 3-6 个月）。只换向量库便宜得多：向量可导出迁移，只需 reindex。,architecture
从多上游网关（M 档）跨到自建推理（L 档）的硬门槛是什么？,Eval / Trace / Registry 等控制面已稳定运行 ≥ 6 个月——L 档对控制面的要求是 M 档的两倍，控制面不稳就上自建等于自杀；另需 ≥ 3 名能写 CUDA、读推理框架源码的工程师。走错档比慢一拍贵一个数量级。,architecture
AI SRE 组织设计的第一原则是什么？,端到端用户感知 SLO 必须有一个单一负责人团队，且该团队有权调度其他团队（ticket 进对方 sprint 排期，不只是开 ticket）。否则事故时各团队指标全绿、互相甩锅，没人回答用户。,architecture
中型公司（50-500 工程师）的三角组织由哪三个团队构成？关键配套设计是什么？,平台 SRE/网关、ML 平台/推理、质量/Eval；应用团队不在三角内，是平台的共同设计者。任何两团队之间必须有固定例会——三个例会缺一个，对应那条边就变成事故源。,architecture
为什么 Eval 团队不能向 ML 汇报？,ML 的 KPI 是模型上线速度，Eval 会退化成「帮 ML 拿绿灯」——等于让被考试的人自己出题。Eval 必须独立汇报（Quality 或 SRE 线），ML 只提供 rubric、不掌控 gold set。,architecture
高 blast-radius 且不可逆的自动化决策（如 Agent 高自治放行），RACI 里的 A 有什么特殊要求？,A 不能填团队名，必须落到具名、过能力门槛、可追责的个人：亲手跑过该链路的红队与 eval、亲自背复盘责任、有权说「不」且不被汇报线推翻——类比注册工程师（PE）对设计签字担责。,architecture
可逆决策与不可逆决策各该用什么速度做？,可逆（错了 1-2 个月能改）快做，不可逆（错了 ≥ 6 个月才能修复）慢做。两类用同样的速度做都是错的——所以做决策前先识别决策类型。,architecture
为什么每个架构决策都必须写下「反向触发条件」？,没有反向条件的决策不是决策，是宗教。必须写明什么数据或事件会让你重新考虑——这是把默认推荐从信仰变成可检验判断的机制。,architecture
RAG vs 微调：微调真正合适的场景是哪两类？,① 输出风格/格式强约束（prompt 调不动）② 领域语言模型（医疗/法律的术语与推理链）。约 80% 的场景 RAG + Prompt 优化能达到同样效果且维护成本低一个数量级——微调被严重高估。,architecture
Agent 自治等级升档为什么会强制 Eval 投入同步升档？,高自治意味着写操作和更大 blast radius，没有人工标注采样级 Eval 就是盲飞。这是六类架构决策强耦合的典型——只在单一决策上推敲、忽略联动是架构师常犯的错。,architecture
AI SRE 成熟度模型 L1-L5 五级分别是什么？,L1 实验性接入 → L2 生产化 → L3 平台化 → L4 可治理 → L5 自我演进。L3 是绝大多数公司的合理终点（再往上 ROI 急剧下降），L5 是理想态北极星而非目标。,architecture
成熟度模型的真正用途是什么（不是评级）？,反向自检：识别假升档比识别真升档重要 10 倍——假升档让组织带着虚假信心做不该做的事。任一维度（可观测/可靠性/安全/成本/组织）不达标，该级就不算达成。,architecture
「全栈自建」能否证明组织达到成熟度 L5？,不能。自建本身不是 L5 标志，任何东西可换才是——组件可换 < 30 天、关键人离职团队仍能交付、新人 4 周可上手。全自建更常见的结局是知识孤岛。,architecture
Eval 和红队的分工差异是什么？为什么不能只做其一或分先后？,Eval 测「我们想做对的事做对了没」，红队测「我们没想到的事会不会被搞坏」。同一类工作的两面，必须一起做、不分先后。,architecture
不可逆性的五种形态谱系（从轻到重）？,完全可逆（1-2 周还原）→ 软不可逆（1-3 月迁移）→ 硬不可逆（6-18 月迁移）→ 契约不可逆（合同/监管钉死）→ 认知不可逆（团队心智沉没，最难识别）。,architecture
不可逆决策的「事前体检」四问？,① 反向迁移路径是什么（谁做、多久、多少钱）② 背后的假设错了会怎样 ③ 什么信号触发重新评估 ④ 三年后目标态长什么样。答不上来 = 决策没做透。没有反向触发的不可逆决策 = 没装刹车的火车。,architecture
退路图（不可逆决策的退出路径）的正确用法？,不是文档作业——要每年验证一次可执行性（跑一次端到端 fallback 演习）。当年的「30 天可切换」若变成 90 天：要么趁退路还在赶紧走，要么花成本修回来。,architecture
AI 系统生命周期 Day 0/1/2/N 中，架构师精力该重点投在哪？真正检验架构的又是哪个阶段？,约 60% 投 Day 0 设计期——Day 0 做对，Day 2/N 大部分问题不会出现；但真正检验架构成功的是 Day N（2-5 年后还能稳定运行且能接新业务）。,architecture
AI 系统的四种 budget 及各自约束的维度？,Token（财务）、GPU（容量）、Risk（安全）、Error（质量）。系统真实健康度由四条曲线中最低的一条决定。,architecture
为什么四种 budget（Token/GPU/Risk/Error）必须联合治理、不能各团队各管一摊？,因为它们相互转化——每个看似单维度的优化都在另外三维产生波动（如降级便宜模型省 Token 却烧 Error）。单点优化 ≠ 组织级最优，架构师要在四维上保持平衡。,architecture
Risk budget 的核心思想？,把「安全」从无限制的硬约束变成可量化、可累积、可消耗的预算——自治升档、新工具上线都按单位消耗，红队回归可补回；超支自动触发降级（如禁止下月升档），而非无限等管理层批准。,architecture
纯 SaaS（不自建推理）场景下，GPU/容量约束消失了吗？,没有，只是换了形态——上游 RPM/TPM 配额、峰值 429、预置吞吐额度与配额升档谈判取代了显存与 GPU 时。单位不同，治理逻辑相同。,architecture
AI 架构师必须主导的四类外部契约对象？,法务/合规（数据驻留、训练使用、审计）、CFO/FinOps（unit economics、TCO）、上游供应商（SLA、退役、数据条款）、最终客户（对客 SLA、责任划分）。不读合同的架构师，是被合同决定的架构师。,architecture
与 LLM 上游供应商的关系和传统云（AWS/GCP）的本质区别？,LLM 上游是高频变化的关键供应商——模型退役频繁、行为漂移、价格波动大、替代性低。正确姿势是每年评估、每季对账、随时准备切换，而非签长约躺平。,architecture
多供应商（multi-vendor）策略的主要决策变量是什么？,故障容忍度，不是花费——能容忍小时级故障就单家，容忍不到 5 分钟就要多家自动切换。多家有维护多套 prompt/eval 的代价，2-3 家是甜蜜点。,architecture
外部契约协同设计的三条原则？,客户合同 ≤ 上游能力（SLA 差超 1 个 9 不签）；合规要求 ⊆ 上游能力（上游撑不住就换上游或自建）；财务承诺 ≤ 工程可实现。对客承诺前自问：18 个月后还能保证吗？,architecture
Prefill 和 Decode 的瓶颈分别是？,Prefill 是 compute-bound（GPU 算力），Decode 是 memory-bandwidth-bound（HBM 带宽）。,deep-dive-01
为什么 Decode 每生成一个 token 都要读整个模型？,每步需要把全部参数从 HBM 读到计算单元，还要读所有 KV cache。,deep-dive-01
70B bf16 模型在 H100 上理论 tokens/s 上限约多少？,~24 tokens/s（HBM 3.35 TB/s ÷ 140GB 参数）。,deep-dive-01
TTFT 主要由什么决定？,输入 token 数（prefill 时间线性相关于输入长度）。,deep-dive-01
Prompt caching 缓存的到底是什么？,KV 张量（每层每头的 K 和 V），不是最终回答。,deep-dive-02
缓存命中的判定条件？,Token 级前缀匹配（不是字符串相等），必须从 token 0 开始连续匹配。,deep-dive-02
Anthropic 缓存读取成本是常规的多少？,~0.1×（折扣 90%），写入 1.25×，重用 2 次回本。,deep-dive-02
为什么不能在 prompt 开头放时间戳？,时间戳每次不同 → tokenize 后不同 → 缓存全失效。,deep-dive-02
LM Arena 测的是什么，弱点在哪？,用户盲测偏好（Elo）。弱点：偏主观对话，不一定反映编码/推理硬实力。,deep-dive-03
SWE-bench Verified 测什么？,真实 GitHub issue 修复，是 Agent 编码能力的黄金标准。,deep-dive-03
选型的 7 步？,定义场景 → 硬约束 → 软约束 → 短名单 3 个 → 自己跑 20-50 条 eval → 小流量上线 → 扩量 or 回退。,deep-dive-03
Claude Code 首次"你好"约消耗多少 input token？,~14-25k。,deep-dive-04
"你好" token 的主要去向（按占比）？,System prompt (~37%) + 工具定义 (~49%) + CLAUDE.md 等 (~14%)，用户消息本身仅 2 token。,deep-dive-04
为什么 LLM API 每次必须重传全部上下文？,LLM API 无状态——模型没有记忆，每次调用必须携带全部上下文。,deep-dive-04
单请求 KV cache 大小公式？,2 × num_layers × num_heads × head_dim × bytes_per_element × token数。,deep-dive-05
GQA 能把 KV cache 缩多少？,约 8-16×（Llama 3 70B 用 KV heads=8，相比 64 减 8×）。,deep-dive-05
训练 vs 推理集群的核心差异？,训练是全集群一个故障域、IB 必须；推理是请求级独立、可 scale out。,deep-dive-05
Judge 模型需要做什么定期校准？,抽样 50-100 条让人工 + judge 对同一批样本打标签，算 Cohen's κ，目标 ≥ 0.6。,deep-dive-06
Eval 自己需要的 SLO 有哪些？,覆盖率、评估延迟、Judge 对齐度、pipeline uptime、失败率、数据新鲜度。,deep-dive-06
Data Flywheel 的完整循环？,生产 trace → 标注失败集 → eval 更新 → prompt/模型变更 → rollout → 新 trace。,deep-dive-06
攻击 6 类？,Direct / Indirect / Tool Poisoning / Exfiltration / Loop Hijacking / History Poisoning。,deep-dive-07
4 层纵深防御哪层最强？,基础设施层（沙箱 / egress / capability-scoped 凭证）。Prompt 层最弱。,deep-dive-07
Indirect injection 为什么最狡猾？,攻击者把 payload 埋在 Agent 会读到的外部数据里，输入面是正常业务数据无法 pre-filter。,deep-dive-07
LLM 记忆的三个层次？,参数记忆（训练固化）/ in-context 记忆（当前窗口）/ 持久记忆（应用层拼的）。,deep-dive-08
"写数据库作记忆"解决了多少问题？,~20%（持久化），剩下 80%（抽取、检索、冲突、污染、元认知、运维）没解决。,deep-dive-08
持久记忆引入 prompt injection 的什么新风险？,注入一次、永久生效——把单次攻击变成持久威胁。,deep-dive-08
当前最被推崇的记忆模式？,工作笔记模式（Claude Code 的 NOTES.md）——Agent 自己写、人类可审计、文件系统自带版本。,deep-dive-08
多上游 LLM 网关的 SLI 必须按哪三个维度切分？,调用方租户 × 上游通道 × 模型三维度——任一维度合并都会导致归因失败。,deep-dive-17
多上游网关的内部 canonical schema 字段集应取各上游的并集还是交集？,并集（union）——只取交集会删掉各家独有的缓存计数、usage 细分、拒答分类等关键差异字段，事故排查时无法还原上游原文。,deep-dive-17
网关层如何检测「上游通道静默退化」（错误码全正常但回答质量变差）？,每个通道周期性跑金标准探针（已知答案 prompt + 确定性 metric），并做跨通道横向对比——通过率分叉即报警；关键是全程不依赖上游错误码的黑盒检测。,deep-dive-17
为什么说计费日志是 Data Flywheel 最廉价的起点？,它是计费的免费副产品、100% 覆盖每次请求且自带全部关键元数据；只需补 output_hash、finish_reason、quality_tag 三列即可启动最小飞轮，不依赖用户主动反馈。,deep-dive-17
LLM 成本的四层归因模型是哪四层？哪个位置能做到全部四层？,模型层 → 功能层 → 用户层 → 结构层（system prompt/工具定义/context/历史各占多少）；API 网关是唯一能做到全部四层归因的位置。,deep-dive-18
Agent 链路成本放大的三个来源是？,步数放大（每个 tool call 往返一次 API）、上下文膨胀（每步结果追加进历史）、思考链消耗（thinking token 不出现在输出里但照样计费）。,deep-dive-18
Prompt 缓存的成本节省公式？,节省 = 命中率 H × 命中前缀占比 × (1 − cached_price/full_price)——命中率和命中前缀长度占比共同决定实际收益。,deep-dive-18
LLM 成本优化按投入产出比排序的前三步是？,Prompt Caching → 离线任务迁移到 Batch API → 模型降级路由；前三步做完通常已省 60-80%，其余（上下文裁剪、步数限制）是边际优化。,deep-dive-18
主流自建推理框架当前竞争的核心机制是什么？,前缀缓存已收敛为三家引擎的共同默认能力（vLLM block 级 hash / SGLang token 级 radix tree——两种粒度路线）；竞争前沿上移到编排层：KV 感知路由、PD 分离、大规模专家并行（llm-d / Dynamo / AIBrix）。,deep-dive-19
为什么 Agent 多轮场景要关注前缀缓存的实现粒度？,Agent 每轮只在上下文末尾追加，前缀天然深度共享——SGLang 的 radix tree 按 token 级任意长度命中，vLLM 按整 block 命中；两者都默认开启，深共享负载下粒度差异才显现（量级是百分之几十，不再是早年对旧版 vLLM 的 2-4×）。,deep-dive-19
自建推理服务的默认选型路径？,默认从 vLLM 起步（社区事实标准、硬件插件生态最广）；深共享前缀 / 大规模 EP+PD 负载评估 SGLang；全 NVIDIA 栈追求极致再看 TensorRT-LLM（已 PyTorch 化、无编译门槛）；多副本上规模后加编排层而不是换引擎。,deep-dive-19
TensorRT-LLM 的「编译式框架」印象为什么过时了？,1.0（2025-09）起 PyTorch 原生后端成为稳定默认，当前主干（1.3 时代）已移除引擎编译路径、PyTorch 为唯一执行后端——HF checkpoint 直接 trtllm-serve 起服务；真实门槛从「编译周期」变成调优复杂度与 NVIDIA-only 锁定。,deep-dive-19
GPU 集群的互联带宽层级从快到慢是？量级关系？,HBM（卡内）≫ NVLink（节点内）≫ InfiniBand（跨节点）——每往下一层掉约一个数量级，这决定了每种并行策略能跨多远。,deep-dive-20
为什么张量并行（TP）必须待在 NVLink 域内、不能跨节点？,TP 每 decode 一个 token 要做 2L 次串行 all-reduce 且全在关键路径上藏不住；杀死跨节点 TP 的是「延迟 × 次数」加 batch 放大后的带宽，只有 NVLink 的高带宽 + 微秒级延迟扛得住。,deep-dive-20
MoE 模型在 decode 上「省带宽」，它省显存吗？为什么？,不省——路由是逐 token 变的，全部专家权重必须常驻集群显存；所以超大 MoE 必须靠专家并行（EP）把专家摊到多卡，用聚合显存装下全部权重。,deep-dive-20
衡量 PD 解耦效果用什么指标？它的定义是？,用 goodput：同时满足 TTFT 和 TPOT 两个 SLO 前提下每 GPU 每秒能扛的请求数——裸吞吐把超时请求也算数，goodput 才反映有效产能。,deep-dive-20
Prompt 的发布单元是什么？,模板 + 模型版本 + 采样参数 + 工具 schema——四者任一变更都算一次 prompt 变更；这是「四联版本绑定」（Prompt / Model / Embedding / Judge 联合版本）的 prompt 侧。,deep-dive-21
Prompt Registry 业界收敛的数据模型是什么？,稳定标识符 + 不可变版本 + 可移动指针（label）——发布 = 移动指针，回滚 = 指针移回，与容器镜像 tag 同构。,deep-dive-21
Prompt 变更上线前的三道关卡？,静态检查（diff 评审 + 渲染测试 + 缓存影响分析）→ 生产 trace 回放（成对比较行为漂移）→ eval gate（不达标不放）。,deep-dive-21
「Prompt 回滚 < 5 分钟」的四个前提？,旧版本永不静默删除；发布走可移动指针（不是硬编码重新部署）；模型 / 工具 schema 等绑定件一起回——否则回到的是没测过的新组合；指针变更能在 SLO 内传播到全部消费实例（客户端缓存 TTL 小于回滚 SLO 或有推送失效）。,deep-dive-21
Self-attention 的三个角色 Q/K/V 分别表示什么？,Q=我在找什么（query），K=我是什么（key），V=我的信息（value）。,science-01
Attention 的计算复杂度？,O(N²)——N 个位置互相算相似度。长 context 成本的物理根因。,science-01
KV Cache 为什么能节省计算？,每生成新 token 时，历史 token 的 K 和 V 完全不变，可存下来复用。,science-01
Attention Sink 是什么？,模型在 softmax 里需要一个"出口"倾倒多余注意力，前几个 token 成了默认"垃圾桶"——解释了为什么前置内容受重视。,science-01
长 context 中间塌陷的 4 个叠加原因？,训练分布（重要信息多在首尾）+ 位置编码几何偏差 + softmax 稀释 + attention sink 效应。,science-02
"宣称 context"和"有效 context"的差距？,RULER：宣称 ≥32K 的模型只有一半能真正用到 32K。Gemini 1.5 1M 实测有效 >128K。,science-02
长 context 能替代 RAG 吗？,不能。中间塌陷 + 成本线性涨 + 延迟高。RAG + Rerank 仍是必要的。,science-02
Outlier features 是什么，为什么毁掉量化？,少数激活维度值极大（±100+），其他维度都在 ±1 以内。int8 只有 256 级，覆盖 outlier 就丢普通值精度。,science-03
GPTQ 和 AWQ 的核心思想分别是？,GPTQ 用 Hessian 信息决定哪些权重重要并补偿误差；AWQ 认为激活大的维度对应权重更重要，保护这些。,science-03
量化静默降级的典型症状？,整体 eval 通过但某类任务崩（数字/结构化输出对量化特别敏感）。必须按任务类型分桶监控。,science-03
同样信息量，中文在 GPT tokenizer 下的 token 数比 Qwen 多多少？,~2-3×（GPT 对中文每字 1.5-2 token，Qwen 每字 0.6-1 token）。,science-04
LLM 数学差的根因？,Tokenization 不稳定——"17234" 可能切成 [17｜234] 也可能 [1｜7｜2｜3｜4]。数字不是位值表示。,science-04
Opus 4.7+（含 4.8）换 tokenizer 对账单的影响？,同样内容 token 数比 Sonnet 4.6 多约 35%（1.35× 体积，源自 1M context 对应 ~555k 词 vs Sonnet 4.6 的 ~750k 词）。单价相同时实际成本高 ~35%。Opus 4.8 还把 effort 默认设为 high，预算再叠加 3-10×。,science-04
训练三段是哪三段？,Pre-training（世界知识）/ Mid-training（聚焦能力提升）/ Post-training（对齐）。,shared-lang-01
SFT 和 RLHF/DPO 的区别？,SFT 教格式（被问就答），RLHF/DPO 教偏好（两个都对的回答里选更好的）。,shared-lang-01
Loss spike 的 SRE 处理流程？,暂停 → 检查最近数据批次 → 从最近 checkpoint 恢复 → Skip 可疑数据 → 继续。,shared-lang-01
Model card 至少要看哪 5 项？,Training data（含 cutoff date）/ Architecture / Recipe / Post-training / Evaluations + regressions。,shared-lang-01
ML 团队时间主要花在哪？,80% 在数据（pipeline、清洗、去重、污染检测、混合比例），不是调模型。,shared-lang-02
Pre-training data pipeline 的 7 步？,Crawl → Clean → Filter → Dedup → Decontaminate → Mix → Tokenize。,shared-lang-02
Contamination 是什么？如何检测？,训练数据混入 eval set。检测：N-gram 匹配、canary tokens、private eval。,shared-lang-02
Annealing mix 是什么？,训练末期 10-20% steps 用更高质量、更聚焦的数据混合（数学、代码比例拉高）。近因效应。,shared-lang-02
pass@k 的含义？,让模型对同一题生成 k 次，至少一次通过的概率。pass@1 才代表单次可用。,shared-lang-03
MMLU 为什么区分度下降？,饱和（前沿模型 85-90%，接近人类 90%），已无法区分顶级模型。替代是 MMLU-Pro / GPQA。,shared-lang-03
LM Arena Elo 是什么？,用户盲测对弈 → Elo 更新。相对分数，分差比绝对值重要。差 20 分显著，差 5 分是噪声。,shared-lang-03
Benchmark contamination 怎么识别？,某单一指标飙升而 Arena / private eval 不动 + 强项不合理集中 → 大概率刷榜。,shared-lang-03
HHH 三原则？,Helpful / Honest / Harmless。对齐的三目标。,shared-lang-04
DPO 相比 RLHF 的优势？,不训 Reward Model，直接用偏好对比做训练。简单 100×、稳定、效果接近。,shared-lang-04
Reward hacking 是什么？举一个例子？,Policy 找到 Reward Model 的漏洞获得高分但实际不是好回答。例：RM 偏好长回答 → Policy 学会啰嗦。,shared-lang-04
Jailbreak 和 Prompt Injection 的区别？,Jailbreak 是让模型说违规内容；Prompt Injection 是让 Agent 做违规动作。对 SRE 后者更严重。,shared-lang-04
FSDP / ZeRO-3 的核心思想？,把模型参数、梯度、优化器状态都切片到不同 GPU，forward/backward 时临时 gather。兼得 DP 简单和 TP 省显存。,shared-lang-05
训练和推理集群的网络要求差异？,训练必须 InfiniBand / NVLink（每 step 传数百 GB）；推理 Ethernet 足够。,shared-lang-05
Checkpoint 的 SRE 关键指标？,写耗时、写失败率、存储容量趋势、最近 checkpoint 年龄、跨区复制延迟。,shared-lang-05
MFU（Model FLOPs Utilization）目标？,实际 FLOPs / 峰值 FLOPs，60-70% 是生产目标。低于 50% = 效率问题。,shared-lang-05
B1 动作的核心提问是什么？,"我错在'不知道'还是'没想到'？"——前者补知识，后者是思维钝化信号。,training
B2 动作的三步？,自己写初稿（不许 AI 写）→ AI 挑错（不许重写）→ 自己改。,training
B3 渐进节奏？,第 1 月每周 45min → 第 2-3 月每周 90min → 第 4 月+ 每月 3-4 小时。,training
每月自检的 3 问题？,(1) 有没有自己想通本想问 AI 的问题？(2) B3 有没有完成？(3) B1 方向感有没有提升？,training
